observation_date,GDPDEF
1993-04-01,60.95962818693512
1993-07-01,61.32153639558472
1993-10-01,61.65582529357423
1994-01-01,61.95106620063049
1994-04-01,62.25011666777779
1994-07-01,62.60726292631358
1994-10-01,62.94631377441691
1995-01-01,63.28822179258851
1995-04-01,63.59203420984962
1995-07-01,63.90537052733837
1995-10-01,64.21299250469052
1996-01-01,64.52156687206545
1996-04-01,64.78918846846162
1996-07-01,65.00157144353757
1996-10-01,65.34824141182297
1997-01-01,65.73872132115545
1997-04-01,65.86919875427387
1997-07-01,66.15682054114801
1997-10-01,66.37682263640605
1998-01-01,66.47110924865952
1998-04-01,66.62825360241527
1998-07-01,66.91016104915285
1998-10-01,67.09873427365976
1999-01-01,67.31683158887229
1999-04-01,67.57111972494975
1999-07-01,67.81016962066306
1999-10-01,68.1863636796541
2000-01-01,68.63970133048886
2000-04-01,69.06732445070905
2000-07-01,69.4711378203602
2000-10-01,69.84542709930571
2001-01-01,70.30733626034534
2001-04-01,70.73019743045172
2001-07-01,71.00829531709827
2001-10-01,71.2311545824246
2002-01-01,71.4549662377737
2002-04-01,71.70449242373738
2002-07-01,72.04830522195451
2002-10-01,72.46640444194706
2003-01-01,72.82069353041459
2003-04-01,73.07688644653759
2003-07-01,73.49498566653016
2003-10-01,73.94260897722835
2004-01-01,74.47023304983857
2004-04-01,75.07119115420147
2004-07-01,75.54738616558254
2004-10-01,76.13310602958123
2005-01-01,76.74168325412623
2005-04-01,77.29406946732826
2005-07-01,77.99883808417223
2005-10-01,78.63979656949114
2006-01-01,79.19694473280698
2006-04-01,79.88837988933228
2006-07-01,80.44648044267089
2006-10-01,80.73410222954504
2007-01-01,81.50172858789131
2007-04-01,82.06840065143479
2007-07-01,82.51697635215574
2007-10-01,82.85126525014523
2008-01-01,83.15793483747464
2008-04-01,83.56079581710303
2008-07-01,84.19032562214879
2008-10-01,84.39413708701989
2009-01-01,84.32746978542653
2009-04-01,84.18746845208051
2009-07-01,84.28746940447053
2009-10-01,84.55413861084392
2010-01-01,84.79699806664826
2010-04-01,85.21128772654978
2010-07-01,85.47033781274106
2010-10-01,85.96653301460015
2011-01-01,86.40653720511624
2011-04-01,86.9779712187735
2011-07-01,87.50178573129268
2011-10-01,87.60559624377376
2012-01-01,88.1198868560653
2012-04-01,88.48369984476042
2012-07-01,88.96941875636911
2012-10-01,89.41513728702179
2013-01-01,89.77037876551205
2013-04-01,89.96371394013276
2013-07-01,90.40467052067164
2013-10-01,90.88277031209822
2014-01-01,91.22753550033808
2014-04-01,91.74373089267516
2014-07-01,92.12087734168897
2014-10-01,92.21230678387414
2015-01-01,92.16183011266776
2015-04-01,92.69135896532347
2015-07-01,92.9370755911961
2015-10-01,92.93517081115058
2016-01-01,92.8542176592158
2016-04-01,93.48565224430708
2016-07-01,93.72470214002038
2016-10-01,94.17803979085517
2017-01-01,94.65804436232726
2017-04-01,94.9056657682454
2017-07-01,95.39328945989963
2017-10-01,95.97996171392109
2018-01-01,96.5904437185116
2018-04-01,97.27330736483204
2018-07-01,97.69331136487014
2018-10-01,98.114267754931
2019-01-01,98.4085562719645
2019-04-01,98.91713254411948
2019-07-01,99.23142125163096
2019-10-01,99.53999561900592
2020-01-01,100.0
2020-04-01,99.63142506119104
2020-07-01,100.5028619320184
2020-10-01,101.18572557833885
2021-01-01,102.46764254897668
2021-04-01,104.05432432689837
2021-07-01,105.61719635425099
2021-10-01,107.45435670815912
2022-01-01,109.63818703035268
2022-04-01,112.12582976980734
2022-07-01,113.38869893998992
2022-10-01,114.43632796502825
2023-01-01,115.47824264992998
2023-04-01,116.00491433251744
2023-07-01,116.92301831446017
2023-10-01,117.37349879522662
2024-01-01,118.2516023962133
2024-04-01,118.99446661396776
2024-07-01,119.55542433737465
