,Artigas,Canelones,Cerro Largo,Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandú,Rivera,Rocha,Río Negro,Salto,San José,Soriano,Tacuarembó,Treinta y Tres
2007,351743703.51187813,2234050546.3304124,437624362.42786413,1150478163.2668602,327513078.725989,182100045.84745377,458287648.24950826,393454621.75814635,1275279720.3292818,12079242858.404852,663863896.4299169,508696179.5661916,441817999.7501023,605526317.856874,651861537.866968,700736235.3856528,562641782.4203185,464304300.79641324,308550025.4745189
2008,460008836.00723326,2905115739.362468,599513659.6186495,1551422111.2198784,410525000.52681535,243313083.707053,622602973.8224458,527435474.3703095,1603432962.9882386,15491015918.553411,871121320.4818556,661082693.7843243,564627131.2658347,980953744.3563812,882851354.2553078,925700214.4437712,710624614.6252712,660332464.2735168,447923241.16943604
2009,458907629.8949221,3043685896.6172304,591997562.0568542,1695685462.445124,431064679.4947657,251735222.66743132,619981569.6996981,525959759.2329677,1760425045.264002,16704831795.898743,941163014.9700505,661061784.2012688,592336760.0819325,764782924.5134943,915567247.7654665,924748643.6679513,778883373.2574425,629196411.4938557,416304294.29469866
2010,598447804.9510816,3923469563.586968,753348577.8167763,1951240748.334306,564327111.5929924,303576344.53241134,766465551.3182302,685991601.2007945,2320039156.8700743,21392806788.840954,1137187173.324792,918105030.5291175,753429875.0997849,1197102739.8106515,1155406045.7200503,1237902805.7583528,939356954.7319113,827362965.169268,524794372.76958746
2011,772506650.5929238,4690287289.557029,926514070.2580713,2379679772.0003533,707780259.7294594,395852433.54886246,965555364.3181638,847457196.4916759,2788505444.095607,25316300715.736984,1457984032.8308082,1098450430.8952622,953630283.3612189,1320449904.473181,1388083373.9583673,1463552014.1983216,1249578462.779144,983288096.2659928,636950271.9862723
2012,799202362.4525691,5180742983.348095,1003343893.8848293,2573368159.0225787,755597353.390503,414722420.49399847,1036730534.7022195,864831723.977666,3054698441.8925066,27525976910.75791,1555049114.8510265,1147514643.8212686,1007283394.588188,1267517276.6834123,1481859549.789136,1585305368.9244328,1294984414.649293,1019616834.2366426,663920977.3148116
2013,901646102.8516662,6125178747.273316,1112930624.8796234,2944363004.220516,847393222.826303,480073095.90332574,1158803487.8444161,999225010.8655874,3408233318.911368,30730550234.93804,1674519624.3706408,1326405559.3901403,1182436156.539649,1434507323.4876177,1648124243.552145,1893244149.0685897,1513172069.7814703,1155591258.6651595,801224698.4161241
2014,908400165.1175444,6233437563.924374,1129403403.6994178,2916902838.2086515,898686781.5033059,452455676.18432647,1226887982.7292652,998204316.2413228,3373071952.419155,31050360856.586426,1601969403.6738312,1335351631.6054652,1163170144.5290368,1335264160.044071,1636642467.3126123,1892452379.8388643,1375395965.3128426,1199492104.1993074,768637180.7721843
2015,843031186.5870209,5642496391.8021965,1060074089.0559698,2796435512.424038,795259212.1331186,438665481.03218997,1105129734.885131,938535616.1181301,3230073216.841725,28912852802.519672,1607713198.5662732,1233355255.0695333,1079060898.7097547,1467790972.7290015,1592287235.3619993,1723212873.802103,1351306426.9655294,1128987613.7818367,734060280.2836872
2016,839850813.5445486,5655021394.783031,1056149793.9571385,2789606062.6166496,793321927.6494647,436647437.07946986,1100926831.2656205,933885561.263372,3238849878.41341,28753941887.006546,1603156075.5367231,1229129324.5838077,1078239060.6888463,1462655913.3854978,1589031800.5304432,1720858901.7215273,1344988178.0076642,1125301111.7537274,729226436.4706088
2017,949497860.0339329,6431455595.498296,1194129554.716222,3158026641.63486,898098720.6681858,493248798.83829135,1244622858.88091,1054567731.303237,3685334621.9399977,32452029468.941418,1814177177.626532,1390083197.3037155,1222678519.258879,1654086663.9429815,1799602234.9744897,1950205533.701951,1519220539.7438257,1272870312.4424179,822103963.1098602
2018,954137541.7800784,6501081226.400427,1200058503.0513241,3177679614.632701,903700765.9883738,495253274.6482824,1250668910.6551077,1058477728.3918782,3727017929.766162,32554644596.95713,1824764987.6469376,1397360874.678992,1232320152.4821398,1662636065.3227673,1811513918.2259247,1964428368.0927584,1525279498.6433408,1279753645.5500846,823798745.3134904
2019,908265416.4119192,6224706047.880471,1142443312.3539422,3028886621.1690454,861390706.7569983,471054367.3167205,1190504307.964692,1006402179.0247678,3570263082.214551,30936188608.34352,1738649170.4099085,1330636702.068138,1176550151.278864,1583131759.0313272,1727365717.3272684,1874421540.4091003,1450642715.730715,1218839540.9787714,781983860.3870693
2020,783157736.6240513,5398419202.887394,985155685.2407637,2615117848.776453,743728791.3999608,405839006.21614885,1026490973.1917031,866763710.1961087,3097778122.0840807,26629323321.571667,1500565774.0281777,1147751615.9445274,1017482858.6793463,1365446193.3013647,1491973522.6496305,1620051111.2747276,1249720091.8033702,1051493090.4353414,672377911.5618932
2021,886369083.2322088,6144980601.585219,1115081372.8568003,2963642078.6349535,842852473.9382522,458958082.928149,1161738287.0781322,979857903.8398992,3527792623.6279407,30087347975.056484,1699907300.3570886,1299458232.216771,1154953364.8357527,1545826269.1892788,1691471819.1730583,1837869818.8273382,1413165061.1231186,1190671046.3676412,758855200.6754961
2022,1023237287.822526,7134181204.7218075,1287355289.2534995,3425716182.6323614,974276672.4805795,529394664.29646134,1341087205.0423288,1129838888.71217,4097528363.6626782,34673828283.47713,1964196057.4602022,1500614582.3001761,1337169859.21426,1785003849.0394495,1955941176.4138365,2126601471.1907675,1629922522.3847568,1375218762.998508,873570967.2741095
2023,1126078301.3354862,7895491003.847111,1416850495.267876,3774914363.7337646,1073595279.0332806,582131218.9862362,1475832376.4044187,1241952455.850705,4536805130.262658,38093848515.92896,2163606469.747739,1652005927.500496,1475823703.7775433,1964947729.9611115,2156139607.965574,2345778757.556057,1792156307.1227026,1514196514.2305965,958676718.9473767
