,cpi_0
1986-01-31,0.0607308857460085
1986-02-28,0.0629497330624268
1986-03-31,0.0663354871281532
1986-04-30,0.0695660368479124
1986-05-31,0.0712330464897811
1986-06-30,0.0746935285739361
1986-07-31,0.0793956454258277
1986-08-31,0.0828101410371035
1986-09-30,0.0865235487220937
1986-10-31,0.0910129781369193
1986-11-30,0.0951402640778218
1986-12-31,0.0980948949603063
1987-01-31,0.1019635069912635
1987-02-28,0.1054009958389789
1987-03-31,0.1127645798087505
1987-04-30,0.1156272377454767
1987-05-31,0.1180300309534115
1987-06-30,0.1232954820980726
1987-07-31,0.1312224003606136
1987-08-31,0.1356198568296809
1987-09-30,0.1390171075136271
1987-10-31,0.1456966426993216
1987-11-30,0.1521232522841807
1987-12-31,0.15429036481861
1988-01-31,0.160090408710491
1988-02-29,0.1661146366576578
1988-03-31,0.1740185616837592
1988-04-30,0.1824973176208498
1988-05-31,0.1867510663621699
1988-06-30,0.1961553000659532
1988-07-31,0.2127334235388815
1988-08-31,0.2198555785260377
1988-09-30,0.229098859574744
1988-10-31,0.2453895675921778
1988-11-30,0.2562653684280934
1988-12-31,0.260760546152029
1989-01-31,0.2714294078599883
1989-02-28,0.2887318182807632
1989-03-31,0.3088451518562751
1989-04-30,0.3250553835461705
1989-05-31,0.3345745834321516
1989-06-30,0.3600165995525333
1989-07-31,0.3811243906040565
1989-08-31,0.3979956778415895
1989-09-30,0.4174766974150133
1989-10-31,0.4479312390792209
1989-11-30,0.4661763721940179
1989-12-31,0.4932968945744881
1990-01-31,0.5182962908934082
1990-02-28,0.5538265895016504
1990-03-31,0.6035207217566664
1990-04-30,0.6458455217328009
1990-05-31,0.6820253792704608
1990-06-30,0.7474008987772621
1990-07-31,0.7895704944074293
1990-08-31,0.8335278141707733
1990-09-30,0.9557311175379662
1990-10-31,1.017571426942184
1990-11-30,1.071312368810564
1990-12-31,1.1294335222206815
1991-01-31,1.2110595115811476
1991-02-28,1.2534590395757108
1991-03-31,1.3160811190188737
1991-04-30,1.3667409672043511
1991-05-31,1.4858286870339827
1991-06-30,1.5496119249173437
1991-07-31,1.6171085704856951
1991-08-31,1.718738675548585
1991-09-30,1.8303420969171376
1991-10-31,1.898505546342237
1991-11-30,1.987569847690903
1991-12-31,2.0493871638586807
1992-01-31,2.15639193793932
1992-02-29,2.20850036002049
1992-03-31,2.352748428824119
1992-04-30,2.4496649204168977
1992-05-31,2.563596406974956
1992-06-30,2.632461150111462
1992-07-31,2.7509682907209942
1992-08-31,2.8705906032978463
1992-09-30,2.990368120220665
1992-10-31,3.1006494304939425
1992-11-30,3.153183227449245
1992-12-31,3.2566297981908607
1993-01-31,3.386955462330332
1993-02-28,3.5051234527023816
1993-03-31,3.6308389729357184
1993-04-30,3.780697391430602
1993-05-31,3.9586592931637465
1993-06-30,4.117209155032787
1993-07-31,4.241366883497343
1993-08-31,4.411217921076431
1993-09-30,4.57404452492323
1993-10-31,4.673886331022033
1993-11-30,4.801735048766051
1993-12-31,4.978190893512405
1994-01-31,5.147737270708667
1994-02-28,5.221304130697066
1994-03-31,5.369058668057727
1994-04-30,5.55826426240982
1994-05-31,5.711640646079958
1994-06-30,5.872104694882592
1994-07-31,6.057798072368542
1994-08-31,6.247492272994977
1994-09-30,6.460984473336364
1994-10-31,6.6870712189375245
1994-11-30,6.950251803224817
1994-12-31,7.17414844305511
1995-01-31,7.405408666855172
1995-02-28,7.531923202054785
1995-03-31,7.802381145675202
1995-04-30,8.077949336094312
1995-05-31,8.257233348922732
1995-06-30,8.507871122732238
1995-07-31,8.720616042889342
1995-08-31,9.018223250435776
1995-09-30,9.190126434367096
1995-10-31,9.3291320452625
1995-11-30,9.51100854549948
1995-12-31,9.71633239859571
1996-01-31,9.91319474068218
1996-02-29,10.061702306536237
1996-03-31,10.254621308573322
1996-04-30,10.546411227300547
1996-05-31,10.767318746393697
1996-06-30,10.906289867434444
1996-07-31,11.088200857526086
1996-08-31,11.326508508294877
1996-09-30,11.60941728944732
1996-10-31,11.792776853434654
1996-11-30,11.934656618885006
1996-12-31,12.081014317131965
1997-01-31,12.320235949049229
1997-02-28,12.521748673205604
1997-03-31,12.681534421533271
1997-04-30,12.861612210319043
1997-05-31,13.034081078451896
1997-06-30,13.20401363970044
1997-07-31,13.380286968159751
1997-08-31,13.483007396974171
1997-09-30,13.590800439557205
1997-10-31,13.69605717525593
1997-11-30,13.811459138491884
1997-12-31,13.91291141386415
1998-01-31,14.10693889051361
1998-02-28,14.189368864253575
1998-03-31,14.245167615708324
1998-04-30,14.33140204977475
1998-05-31,14.412563870072564
1998-06-30,14.54952444182512
1998-07-31,14.734674844379509
1998-08-31,14.85007680761546
1998-09-30,14.947724622661266
1998-10-31,15.051713204917837
1998-11-30,15.099903035719665
1998-12-31,15.11385272358335
1999-01-31,15.212768692071307
1999-02-28,15.239399914356529
1999-03-31,15.272371903852514
1999-04-30,15.40425986183646
1999-05-31,15.428354777237375
1999-06-30,15.4385000047746
1999-07-31,15.498103216555808
1999-08-31,15.555170121452708
1999-09-30,15.558974581779164
1999-10-31,15.609700719465298
1999-11-30,15.609700719465298
1999-12-31,15.744124984333553
2000-01-31,15.803728196114758
2000-02-29,15.8569906406852
2000-03-31,15.954638455731006
2000-04-30,16.024386895049435
2000-05-31,16.097939794694327
2000-06-30,16.177833461549987
2000-07-31,16.238704826773347
2000-08-31,16.32367110739762
2000-09-30,16.387078779505288
2000-10-31,16.499944435856932
2000-11-30,16.507553356509845
2000-12-31,16.539257192563678
2001-01-31,16.593787790576272
2001-02-28,16.641977621378096
2001-03-31,16.70411714004361
2001-04-30,16.839809558354016
2001-05-31,16.946334447494895
2001-06-30,16.87151339440785
2001-07-31,17.01988734713979
2001-08-31,16.971697516337965
2001-09-30,17.02369180746625
2001-10-31,17.06934533138377
2001-11-30,17.083295019247455
2001-12-31,17.132753003491434
2002-01-31,17.282395109665526
2002-02-28,17.39779707290148
2002-03-31,17.551243639402035
2002-04-30,17.834041857002227
2002-05-31,18.04582348184184
2002-06-30,18.365398149264472
2002-07-31,19.25817817254041
2002-08-31,20.380493968846107
2002-09-30,21.015838843364925
2002-10-31,21.218743394109456
2002-11-30,21.310050441944497
2002-12-31,21.57763081823885
2003-01-31,21.980903612843605
2003-02-28,22.27891967174964
2003-03-31,22.55537712213906
2003-04-30,22.76969505386297
2003-05-31,22.854661334487243
2003-06-30,22.891437784309687
2003-07-31,23.00557159410349
2003-08-31,23.27315197039784
2003-09-30,23.45957052639438
2003-10-31,23.58258141028325
2003-11-30,23.62062601354785
2003-12-31,23.77534073349056
2004-01-31,24.295283644773424
2004-02-29,24.299088105099884
2004-03-31,24.444925750947515
2004-04-30,24.746746270180008
2004-05-31,25.004181418937137
2004-06-30,25.0866113926771
2004-07-31,25.340242081107768
2004-08-31,25.639526293455955
2004-09-30,25.709274732774382
